Galia;Département Office 365;Groupe Office 365;SharePoint Alternant
Bachelor Administrateur d'infrastructures sécurisées 2023-2024;Bachelor Administrateur Infrastructures Sécurisées 2024;BAIS 2024;Bachelor AIS
Bachelor Chargé(e) de développement des Ressources Humaines 2023-2024;Bachelor Ressources Humaines 2024;BRH 2024;Bachelor RH
Bachelor Commerce et Marketing 2023-2024;Bachelor Commerce et Marketing 2024;BCM 2024;Bachelor CM
Bachelor Chargé(e) de Communication 2023-2024;Bachelor Communication 2024;BCOM 2024;Bachelor COM
Bachelor Management et Gestion 2023-2024;Bachelor Management et Gestion / Achat Logistique 2023;BMG 2024;Bachelor MG - AL
BTS Assurance 2022-2024;BTS Assurance 2024;BTS ASS 2024;BTS ASS
BTS Assurance 2023-2025;BTS Assurance 2025;BTS ASS 2025;BTS ASS
BTS Communication 2022-2024;BTS COM 2024;BTS COM 2024;BTS COM
BTS Communication 2023-2025;BTS COM 2025;BTS COM 2025;BTS COM
BTS Comptabilité Gestion 2022-2024;BTS CG 2024;BTS CG 2024;BTS CG
BTS Comptabilité Gestion 2023-2025;BTS CG 2025;BTS CG 2025;BTS CG
BTS Gestion de la PME 2022-2024;BTS GPME 2024;BTS GPME 2024;BTS GPME
BTS Gestion de la PME 2023-2025;BTS GPME 2025;BTS GPME 2025;BTS GPME
BTS Management Commercial Opérationnel 2022-2024;BTS MCO 2024;BTS MCO 2024;BTS MCO
BTS Management Commercial Opérationnel 2023-2025;BTS MCO 2025;BTS MCO 2025;BTS MCO
BTS Ngociation et Digitalisation de la Relation Client 2022-2024;BTS NDRC 2024;BTS NDRC 2024;BTS NDRC
BTS Négociation et Digitalisation de la Relation Client 2023-2025;BTS NDRC 2025;BTS NDRC 2025;BTS NDRC
BTS Services Informatiques aux Organisations 2022-2024;BTS SIO 2024;BTS SIO 2024;BTS SIO
BTS Services Informatiques aux Organisations 2023-2025;BTS SIO 2025;BTS SIO 2025;BTS SIO
BTS Services Informatiques aux Organisations SISR 2022-2024;BTS SIO SISR 2024;BTS SIO 2024;BTS SIO
BTS Services Informatiques aux Organisations SISR 2023-2025;BTS SIO SISR 2025;BTS SIO 2025;BTS SIO
BTS Services Informatiques aux Organisations SLAM 2022-2024;BTS SIO SLAM 2024;BTS SIO 2024;BTS SIO
BTS Services Informatiques aux Organisations SLAM 2023-2025;BTS SIO SLAM 2025;BTS SIO 2025;BTS SIO
BTS Support à l'Action Managériale 2022-2024;BTS SAM 2024;BTS SAM 2024;BTS SAM
BTS Support à l'Action Managériale 2023-2025;BTS SAM 2025;BTS SAM 2025;BTS SAM
Dipléme de Comptabilité Gestion 2022-2024;Dipléme de Comptabilité Gestion 2024;DCG 2024;DCG
Dipléme de Comptabilité Gestion 2023-2025;Dipléme de Comptabilité Gestion 2025;DCG 2025;DCG
Licence Droit Economie Gestion mention Gestion Parc Commerce Vente et Marketing 2023-2024;Licence Commerce Vente et Marketing 2024;LCVM 2024;Licence CVM
Licence Droit Economie Gestion mention Gestion Parc. Gestion des Organisations 2023-2024;Licence Gestion des Organisation 2024;LGDO 2024;Licence GDO
Licence Droit Economie Gestion Mention Gestion Parcours Ressources Humaines 2023-2024;Licence Ressources Humaines 2024;LGRH 2024;Licence GRH
Manager Spécialisé Marketing et Communication 2022-2024;Manager Spécialisé Marketing et Communication 2024;MSMC CF 2024;Master Spécialisé MC CF
Manager Spécialisé Marketing et Communication 2023-2025;Manager Spécialisé Marketing et Communication 2025;MSMC CF 2025;Master Spécialisé MC CF
Manager Spécialisé Marketing et Communication D 2022-2024;Manager Spécialisé Marketing et Communication 2024;MSMC DF 2024;Master Spécialisé MC DF
Manager Spécialisé Marketing et Communication D 2023-2025;Manager Spécialisé Marketing et Communication 2025;MSMC DF 2025;Master Spécialisé MC DF
Manager Spécialisé Ressources Humaines 2022-2024;Manager Spécialisé Ressources Humaines 2024;MSRH CF 2024;Master Spécialisé RH CF
Manager Spécialisé Ressources Humaines 2023-2025;Manager Spécialisé Ressources Humaines 2025;MSRH CF 2025;Master Spécialisé RH CF
Manager Spécialisé Ressources Humaines D 2022-2024;Manager Spécialisé Ressources Humaines 2024;MSRH DF 2024;Master Spécialisé RH DF
Manager Spécialisé Ressources Humaines D 2023-2025;Manager Spécialisé Ressources Humaines 2025;MSRH DF 2025;Master Spécialisé RH DF
Manager Spécialisé Stratégies et Gestion d'entreprise 2022-2024;Manager Spécialisé Stratégies et Gestion d'Entreprise 2024;MSSGE CF 2024;Master Spécialisé SGE CF
Manager Spécialisé Stratégies et Gestion d'entreprise 2023-2025;Manager Spécialisé Stratégies et Gestion d'Entreprise 2025;MSSGE CF 2025;Master Spécialisé SGE CF
Manager Spécialisé Stratégies et Gestion d'entreprise D 2022-2024;Manager Spécialisé Stratégies et Gestion d'Entreprise 2024;MSSGE DF 2024;Master Spécialisé SGE DF
Manager Spécialisé Stratégies et Gestion d'entreprise D 2023-2025;Manager Spécialisé Stratégies et Gestion d'Entreprise 2025;MSSGE DF 2025;Master Spécialisé SGE DF
